iter	AUC	CrossEntropy	AUC
313	0.9581974243	0.5471743872	0.9581974243
314	0.9582114838	0.546877644	0.9582114838
315	0.9582255434	0.5466183965	0.9582255434
316	0.9582325732	0.5462685006	0.9582325732
317	0.9581833647	0.5459015389	0.9581833647
318	0.958176335	0.5455946717	0.958176335
319	0.9581095521	0.5452789365	0.9581095521
320	0.9582220285	0.544943213	0.9582220285
321	0.9582009392	0.5446047666	0.9582009392
322	0.9581833647	0.5443702078	0.9581833647
323	0.9582290583	0.544040086	0.9582290583
324	0.9582747518	0.5435679309	0.9582747518
325	0.9582360881	0.5431995052	0.9582360881
326	0.958144701	0.5429230654	0.958144701
327	0.9580884627	0.542752648	0.9580884627
328	0.9581622754	0.5423636401	0.9581622754
329	0.9582009392	0.5419930004	0.9582009392
330	0.9583204454	0.541668351	0.9583204454
331	0.9583063859	0.5414109553	0.9583063859
332	0.9582501476	0.5410961844	0.9582501476
333	0.9582114838	0.5407964858	0.9582114838
334	0.9582536625	0.5403884354	0.9582536625
335	0.9583309901	0.5400923885	0.9583309901
336	0.958619211	0.5396138913	0.958619211
337	0.9586086663	0.5393380165	0.9586086663
338	0.9587387172	0.5389260865	0.9587387172
339	0.9586754492	0.5385753163	0.9586754492
340	0.9586684194	0.5382862491	0.9586684194
341	0.9587176279	0.538043752	0.9587176279
342	0.9588687681	0.5376902373	0.9588687681
343	0.9588793128	0.5374092285	0.9588793128
344	0.9588898574	0.5369589865	0.9588898574
345	0.9589531254	0.5365655624	0.9589531254
346	0.9589179765	0.5363148069	0.9589179765
347	0.9589636701	0.5358603618	0.9589636701
348	0.9589636701	0.535590199	0.9589636701
349	0.9588582234	0.5354204611	0.9588582234
350	0.9588793128	0.5351642725	0.9588793128
351	0.9589496106	0.5347929678	0.9589496106
352	0.9590866912	0.5342936146	0.9590866912
353	0.9590831763	0.5339467231	0.9590831763
354	0.9590234232	0.5336000034	0.9590234232
355	0.9590234232	0.5333181109	0.9590234232
356	0.9590093637	0.5329977442	0.9590093637
357	0.9590234232	0.5326396331	0.9590234232
358	0.9591323848	0.532238466	0.9591323848
359	0.9591183252	0.5319112679	0.9591183252
360	0.9590585721	0.5315331241	0.9590585721
361	0.9590831763	0.5312371138	0.9590831763
362	0.959030453	0.5309403705	0.959030453
363	0.9592061975	0.5305822456	0.9592061975
364	0.9592694655	0.5302438561	0.9592694655
365	0.9592764952	0.5299619614	0.9592764952
366	0.9592132272	0.5296453148	0.9592132272
367	0.9594170908	0.5292336397	0.9594170908
368	0.9595717459	0.528959241	0.9595717459
369	0.9596209544	0.5285184072	0.9596209544
370	0.9596033799	0.5281871266	0.9596033799
371	0.9597017968	0.5278376557	0.9597017968
372	0.9598142733	0.5274433579	0.9598142733
373	0.9597966988	0.5270431658	0.9597966988
374	0.9597053117	0.5268300113	0.9597053117
375	0.9597685797	0.526396064	0.9597685797
376	0.959789669	0.5260928235	0.959789669
377	0.9598072435	0.5257375666	0.9598072435
378	0.9598916008	0.5253782702	0.9598916008
379	0.9600884346	0.5248228595	0.9600884346
380	0.9600989793	0.5245926997	0.9600989793
381	0.9601411579	0.5243031621	0.9601411579
382	0.9600884346	0.5240034596	0.9600884346
383	0.9602114557	0.5237444783	0.9602114557
384	0.9602817535	0.5233455826	0.9602817535
